,RA_Center,DEC_Center
264,270.0,81.0
265,276.42857,81.0
266,282.85714,81.0
267,289.28571,81.0
268,295.71429,81.0
269,302.14286,81.0
270,308.57143,81.0
271,315.0,81.0
272,321.42857,81.0
273,327.85714,81.0
274,334.28571,81.0
275,340.71429,81.0
276,347.14286,81.0
277,353.57143,81.0
278,0.0,80.0
279,5.80645,80.0
280,11.6129,80.0
281,17.41935,80.0
282,23.22581,80.0
283,29.03226,80.0
284,34.83871,80.0
285,40.64516,80.0
286,46.45161,80.0
287,52.25806,80.0
288,58.06452,80.0
289,63.87097,80.0
290,69.67742,80.0
291,75.48387,80.0
292,81.29032,80.0
293,87.09677,80.0
294,92.90323,80.0
295,98.70968,80.0
296,104.51613,80.0
297,110.32258,80.0
298,116.12903,80.0
299,121.93548,80.0
300,127.74194,80.0
301,133.54839,80.0
302,139.35484,80.0
303,145.16129,80.0
304,150.96774,80.0
305,156.77419,80.0
306,162.58065,80.0
307,168.3871,80.0
308,174.19355,80.0
309,180.0,80.0
310,185.80645,80.0
311,191.6129,80.0
312,197.41935,80.0
313,203.22581,80.0
314,209.03226,80.0
315,214.83871,80.0
316,220.64516,80.0
317,226.45161,80.0
318,232.25806,80.0
319,238.06452,80.0
320,243.87097,80.0
321,249.67742,80.0
322,255.48387,80.0
323,261.29032,80.0
324,267.09677,80.0
325,272.90323,80.0
326,278.70968,80.0
327,284.51613,80.0
328,290.32258,80.0
329,296.12903,80.0
330,301.93548,80.0
331,307.74194,80.0
332,313.54839,80.0
333,319.35484,80.0
334,325.16129,80.0
335,330.96774,80.0
336,336.77419,80.0
337,342.58065,80.0
338,348.3871,80.0
339,354.19355,80.0
340,0.0,79.0
341,5.29412,79.0
342,10.58824,79.0
343,15.88235,79.0
344,21.17647,79.0
345,26.47059,79.0
346,31.76471,79.0
347,37.05882,79.0
348,42.35294,79.0
349,47.64706,79.0
350,52.94118,79.0
351,58.23529,79.0
352,63.52941,79.0
353,68.82353,79.0
354,74.11765,79.0
355,79.41176,79.0
356,84.70588,79.0
357,90.0,79.0
358,95.29412,79.0
359,100.58824,79.0
360,105.88235,79.0
361,111.17647,79.0
362,116.47059,79.0
363,121.76471,79.0
364,127.05882,79.0
365,132.35294,79.0
366,137.64706,79.0
367,142.94118,79.0
368,148.23529,79.0
369,153.52941,79.0
370,158.82353,79.0
371,164.11765,79.0
372,169.41176,79.0
373,174.70588,79.0
374,180.0,79.0
375,185.29412,79.0
376,190.58824,79.0
377,195.88235,79.0
378,201.17647,79.0
379,206.47059,79.0
380,211.76471,79.0
381,217.05882,79.0
382,222.35294,79.0
383,227.64706,79.0
384,232.94118,79.0
385,238.23529,79.0
386,243.52941,79.0
387,248.82353,79.0
388,254.11765,79.0
389,259.41176,79.0
390,264.70588,79.0
391,270.0,79.0
392,275.29412,79.0
393,280.58824,79.0
394,285.88235,79.0
395,291.17647,79.0
396,296.47059,79.0
397,301.76471,79.0
398,307.05882,79.0
399,312.35294,79.0
400,317.64706,79.0
401,322.94118,79.0
402,328.23529,79.0
403,333.52941,79.0
404,338.82353,79.0
405,344.11765,79.0
406,349.41176,79.0
407,354.70588,79.0
408,0.0,78.0
409,4.86486,78.0
410,9.72973,78.0
411,14.59459,78.0
412,19.45946,78.0
413,24.32432,78.0
414,29.18919,78.0
415,34.05405,78.0
416,38.91892,78.0
417,43.78378,78.0
418,48.64865,78.0
419,53.51351,78.0
420,58.37838,78.0
421,63.24324,78.0
422,68.10811,78.0
423,72.97297,78.0
424,77.83784,78.0
425,82.7027,78.0
426,87.56757,78.0
427,92.43243,78.0
428,97.2973,78.0
429,102.16216,78.0
430,107.02703,78.0
431,111.89189,78.0
432,116.75676,78.0
433,121.62162,78.0
434,126.48649,78.0
435,131.35135,78.0
436,136.21622,78.0
437,141.08108,78.0
438,145.94595,78.0
439,150.81081,78.0
440,155.67568,78.0
441,160.54054,78.0
442,165.40541,78.0
443,170.27027,78.0
444,175.13514,78.0
445,180.0,78.0
446,184.86486,78.0
447,189.72973,78.0
448,194.59459,78.0
449,199.45946,78.0
450,204.32432,78.0
451,209.18919,78.0
452,214.05405,78.0
453,218.91892,78.0
454,223.78378,78.0
455,228.64865,78.0
456,233.51351,78.0
457,238.37838,78.0
458,243.24324,78.0
459,248.10811,78.0
460,252.97297,78.0
461,257.83784,78.0
462,262.7027,78.0
463,267.56757,78.0
464,272.43243,78.0
465,277.2973,78.0
466,282.16216,78.0
467,287.02703,78.0
468,291.89189,78.0
469,296.75676,78.0
470,301.62162,78.0
471,306.48649,78.0
472,311.35135,78.0
473,316.21622,78.0
474,321.08108,78.0
475,325.94595,78.0
476,330.81081,78.0
477,335.67568,78.0
478,340.54054,78.0
479,345.40541,78.0
480,350.27027,78.0
481,355.13514,78.0
482,0.0,77.0
483,4.5,77.0
484,9.0,77.0
485,13.5,77.0
486,18.0,77.0
487,22.5,77.0
488,27.0,77.0
489,31.5,77.0
490,36.0,77.0
491,40.5,77.0
492,45.0,77.0
493,49.5,77.0
494,54.0,77.0
495,58.5,77.0
496,63.0,77.0
497,67.5,77.0
498,72.0,77.0
499,76.5,77.0
500,81.0,77.0
501,85.5,77.0
502,90.0,77.0
503,94.5,77.0
504,99.0,77.0
505,103.5,77.0
506,108.0,77.0
507,112.5,77.0
508,117.0,77.0
509,121.5,77.0
510,126.0,77.0
511,130.5,77.0
512,135.0,77.0
513,139.5,77.0
514,144.0,77.0
515,148.5,77.0
516,153.0,77.0
517,157.5,77.0
518,162.0,77.0
519,166.5,77.0
520,171.0,77.0
521,175.5,77.0
522,180.0,77.0
523,184.5,77.0
524,189.0,77.0
525,193.5,77.0
526,198.0,77.0
527,202.5,77.0
528,207.0,77.0
529,211.5,77.0
530,216.0,77.0
531,220.5,77.0
532,225.0,77.0
533,229.5,77.0
534,234.0,77.0
535,238.5,77.0
536,243.0,77.0
537,247.5,77.0
538,252.0,77.0
539,256.5,77.0
540,261.0,77.0
541,265.5,77.0
542,270.0,77.0
543,274.5,77.0
544,279.0,77.0
545,283.5,77.0
546,288.0,77.0
547,292.5,77.0
548,297.0,77.0
549,301.5,77.0
550,306.0,77.0
551,310.5,77.0
552,315.0,77.0
553,319.5,77.0
554,324.0,77.0
555,328.5,77.0
556,333.0,77.0
557,337.5,77.0
558,342.0,77.0
559,346.5,77.0
560,351.0,77.0
561,355.5,77.0
562,0.0,76.0
563,4.13793,76.0
564,8.27586,76.0
565,12.41379,76.0
566,16.55172,76.0
567,20.68966,76.0
568,24.82759,76.0
569,28.96552,76.0
570,33.10345,76.0
571,37.24138,76.0
572,41.37931,76.0
573,45.51724,76.0
574,49.65517,76.0
575,53.7931,76.0
576,57.93103,76.0
577,62.06897,76.0
578,66.2069,76.0
579,70.34483,76.0
580,74.48276,76.0
581,78.62069,76.0
582,82.75862,76.0
583,86.89655,76.0
584,91.03448,76.0
585,95.17241,76.0
586,99.31034,76.0
587,103.44828,76.0
588,107.58621,76.0
589,111.72414,76.0
590,115.86207,76.0
591,120.0,76.0
592,124.13793,76.0
593,128.27586,76.0
594,132.41379,76.0
595,136.55172,76.0
596,140.68966,76.0
597,144.82759,76.0
598,148.96552,76.0
599,153.10345,76.0
600,157.24138,76.0
601,161.37931,76.0
602,165.51724,76.0
603,169.65517,76.0
604,173.7931,76.0
605,177.93103,76.0
606,182.06897,76.0
607,186.2069,76.0
608,190.34483,76.0
609,194.48276,76.0
610,198.62069,76.0
611,202.75862,76.0
612,206.89655,76.0
613,211.03448,76.0
614,215.17241,76.0
615,219.31034,76.0
616,223.44828,76.0
617,227.58621,76.0
618,231.72414,76.0
619,235.86207,76.0
620,240.0,76.0
621,244.13793,76.0
622,248.27586,76.0
623,252.41379,76.0
624,256.55172,76.0
625,260.68966,76.0
626,264.82759,76.0
627,268.96552,76.0
628,273.10345,76.0
629,277.24138,76.0
630,281.37931,76.0
631,285.51724,76.0
632,289.65517,76.0
633,293.7931,76.0
634,297.93103,76.0
635,302.06897,76.0
636,306.2069,76.0
637,310.34483,76.0
638,314.48276,76.0
639,318.62069,76.0
640,322.75862,76.0
641,326.89655,76.0
642,331.03448,76.0
643,335.17241,76.0
644,339.31034,76.0
645,343.44828,76.0
646,347.58621,76.0
647,351.72414,76.0
648,355.86207,76.0
649,0.0,75.0
650,3.87097,75.0
651,7.74194,75.0
652,11.6129,75.0
653,15.48387,75.0
654,19.35484,75.0
655,23.22581,75.0
656,27.09677,75.0
657,30.96774,75.0
658,34.83871,75.0
659,38.70968,75.0
660,42.58065,75.0
661,46.45161,75.0
662,50.32258,75.0
663,54.19355,75.0
664,58.06452,75.0
665,61.93548,75.0
666,65.80645,75.0
667,69.67742,75.0
668,73.54839,75.0
669,77.41935,75.0
670,81.29032,75.0
671,85.16129,75.0
672,89.03226,75.0
673,92.90323,75.0
674,96.77419,75.0
675,100.64516,75.0
676,104.51613,75.0
677,108.3871,75.0
678,112.25806,75.0
679,116.12903,75.0
680,120.0,75.0
681,123.87097,75.0
682,127.74194,75.0
683,131.6129,75.0
684,135.48387,75.0
685,139.35484,75.0
686,143.22581,75.0
687,147.09677,75.0
688,150.96774,75.0
689,154.83871,75.0
690,158.70968,75.0
691,162.58065,75.0
692,166.45161,75.0
693,170.32258,75.0
694,174.19355,75.0
695,178.06452,75.0
696,181.93548,75.0
697,185.80645,75.0
698,189.67742,75.0
699,193.54839,75.0
700,197.41935,75.0
701,201.29032,75.0
702,205.16129,75.0
703,209.03226,75.0
704,212.90323,75.0
705,216.77419,75.0
706,220.64516,75.0
707,224.51613,75.0
708,228.3871,75.0
709,232.25806,75.0
710,236.12903,75.0
711,240.0,75.0
712,243.87097,75.0
713,247.74194,75.0
714,251.6129,75.0
715,255.48387,75.0
716,259.35484,75.0
717,263.22581,75.0
718,267.09677,75.0
719,270.96774,75.0
720,274.83871,75.0
721,278.70968,75.0
722,282.58065,75.0
723,286.45161,75.0
724,290.32258,75.0
725,294.19355,75.0
726,298.06452,75.0
727,301.93548,75.0
728,305.80645,75.0
729,309.67742,75.0
730,313.54839,75.0
731,317.41935,75.0
732,321.29032,75.0
733,325.16129,75.0
734,329.03226,75.0
735,332.90323,75.0
736,336.77419,75.0
737,340.64516,75.0
738,344.51613,75.0
739,348.3871,75.0
740,352.25806,75.0
741,356.12903,75.0
742,0.0,74.0
743,3.63636,74.0
744,7.27273,74.0
745,10.90909,74.0
746,14.54545,74.0
747,18.18182,74.0
748,21.81818,74.0
749,25.45455,74.0
750,29.09091,74.0
751,32.72727,74.0
752,36.36364,74.0
753,40.0,74.0
754,43.63636,74.0
755,47.27273,74.0
756,50.90909,74.0
757,54.54545,74.0
758,58.18182,74.0
759,61.81818,74.0
760,65.45455,74.0
761,69.09091,74.0
762,72.72727,74.0
763,76.36364,74.0
764,80.0,74.0
765,83.63636,74.0
766,87.27273,74.0
767,90.90909,74.0
768,94.54545,74.0
769,98.18182,74.0
770,101.81818,74.0
771,105.45455,74.0
772,109.09091,74.0
773,112.72727,74.0
774,116.36364,74.0
775,120.0,74.0
776,123.63636,74.0
777,127.27273,74.0
778,130.90909,74.0
779,134.54545,74.0
780,138.18182,74.0
781,141.81818,74.0
782,145.45455,74.0
783,149.09091,74.0
784,152.72727,74.0
785,156.36364,74.0
786,160.0,74.0
787,163.63636,74.0
788,167.27273,74.0
789,170.90909,74.0
790,174.54545,74.0
791,178.18182,74.0
792,181.81818,74.0
793,185.45455,74.0
794,189.09091,74.0
795,192.72727,74.0
796,196.36364,74.0
797,200.0,74.0
798,203.63636,74.0
799,207.27273,74.0
800,210.90909,74.0
801,214.54545,74.0
802,218.18182,74.0
803,221.81818,74.0
804,225.45455,74.0
805,229.09091,74.0
806,232.72727,74.0
807,236.36364,74.0
808,240.0,74.0
809,243.63636,74.0
810,247.27273,74.0
811,250.90909,74.0
812,254.54545,74.0
813,258.18182,74.0
814,261.81818,74.0
815,265.45455,74.0
816,269.09091,74.0
817,272.72727,74.0
818,276.36364,74.0
819,280.0,74.0
820,283.63636,74.0
821,287.27273,74.0
822,290.90909,74.0
823,294.54545,74.0
824,298.18182,74.0
825,301.81818,74.0
826,305.45455,74.0
827,309.09091,74.0
828,312.72727,74.0
829,316.36364,74.0
830,320.0,74.0
831,323.63636,74.0
832,327.27273,74.0
833,330.90909,74.0
834,334.54545,74.0
835,338.18182,74.0
836,341.81818,74.0
837,345.45455,74.0
838,349.09091,74.0
839,352.72727,74.0
840,356.36364,74.0
841,0.0,73.0
842,3.42857,73.0
843,6.85714,73.0
