,num,Area99,Mean_Dist,P_massfill,P_3dcat,P_2dcat,DegArea,P_2d,P_onlymass
41,1243,5261,239.3704352,0.1632300323473565,0.16028667162045002,0.09987600594126377,2830.879534,0.09952977794460385,0.014704654918135053
42,1273,3537,216.6940288,0.24397713965886159,0.23625998183872862,0.17748472945181043,2040.528728,0.15584038048430005,0.004840424388015921
43,1357,2953,397.5796555,0.15298949416724877,0.13827555990917595,0.1393025353188875,1791.009833,0.14018167834549197,0.018880495452306148
44,1365,3033,391.3608769,0.18467287399998528,0.18170626085359928,0.16421662090494576,1767.326061,0.15778287177708775,0.056792315963997995
45,1371,4289,432.7572527,0.4468311757922331,0.428734360682892,0.42620462957693306,2750.491095,0.4413241435282659,0.010972299096366772
46,1417,4668,286.8076645,0.09453919484852688,0.09185442073798503,0.06954168807975235,2744.878329,0.057188478408759326,0.024308126502851496
47,1462,3221,234.8760144,0.2576955010826458,0.2568048387511093,0.1825211539578168,1757.215215,0.17581721369436687,0.03317442285144226
48,1528,4026,433.5281839,0.4436727517240019,0.43430812954682796,0.4260892076740696,2370.370492,0.4339314920583386,0.006507187063073874
49,1565,217,136.8630431,0.7688916953368523,0.3525140276761195,0.3699957036598364,87.26014239,0.6796848742167584,0.21606577943168703
50,1567,4058,443.189735,0.1594280788826746,0.14983774778077638,0.14555652065224947,2373.216217,0.14821866982606136,0.02377778910860159
51,1584,4768,546.2891284,0.07764568140901824,0.062261777854395045,0.06456918278070072,2548.392199,0.0637695568438951,0.010241940363936804
52,1611,4355,611.5489017,0.09845673016485862,0.08549407237985202,0.08471772414669008,2509.876563,0.08852898841887712,0.013265731997944683
53,1661,2875,276.9956648,0.26541635944572456,0.257210518116308,0.20025685876475083,1182.313294,0.22106515920457168,0.043536004650828214
54,1698,2279,518.1282475,0.6274977773444275,0.6156388108283558,0.6178353475769922,1369.829491,0.6221501233499618,0.04548959022408427
55,1700,2731,365.1547435,0.30504161510933586,0.28540254610329385,0.25991929321587876,1332.218717,0.2788184688400692,0.023667445008432497
56,1763,4132,251.1234079,0.14401530343823454,0.13825937114432102,0.0825818719838412,2172.599196,0.06303782366739964,0.014636003310592165
57,1788,1417,275.7502296,0.3954550679359072,0.37734429975309325,0.34233757761483896,882.4631051,0.32387767843845744,0.048370863110336185
58,1812,3960,289.4540448,0.12174430869452013,0.11686678137732322,0.09480276842504345,2137.847261,0.06587794098259879,0.026480576608379904
59,1819,2447,180.3090072,0.2601923958821488,0.2594122917994771,0.11060827972281771,1007.806123,0.15281033146191772,0.013636881923755012
60,1836,3115,377.5845679,0.19904402321353007,0.19336962213622663,0.18102551174152695,1683.580454,0.16542439159547664,0.03789473557618617
61,1902,4771,478.9738422,0.23377986778037751,0.2127079012362756,0.20411304879562092,2203.075987,0.21524138067115328,0.023354217614682024
62,1922,3171,95.96776687,0.5531621157089077,0.5527642085235365,0.18244968870885947,2057.930923,0.13208079013677193,0.04537238395765488
63,2008,5495,382.157711,0.10813877100199976,0.09960739505509492,0.08524917141428666,2974.870571,0.08811967899387337,0.007718352763933009
64,2073,2425,275.5667442,0.12148471823206812,0.1199199417850502,0.08888069531150641,1567.954864,0.08576937654762078,0.04270689433796888
65,2074,555,140.0269131,0.649446848714953,0.6300409551902241,0.5374731847649636,304.9252827,0.5436156844257048,0.12818282624470154
66,2077,2143,320.0606727,0.3455093401286252,0.3413011370532945,0.32084465097967885,888.9938462,0.28651313409135987,0.05896043815771745
67,2086,503,194.1872284,0.7051724716819254,0.6887320980217169,0.6378175545822256,203.9217334,0.6703331374853546,0.21430811334868227
68,2093,4979,401.4209228,0.1345495524166799,0.1221713303131313,0.11099615761530858,2919.044538,0.11252444762990846,0.017955105662413484
69,2114,2772,262.8813139,0.15345725751001882,0.15220755599283226,0.11640799551868578,2355.171438,0.0908281391772189,0.05274017647451798
70,2179,5766,428.9798485,0.5758786326564493,0.5408515647115734,0.5503711911462464,2262.128049,0.5670719506457542,0.003443898942378877
71,2191,5881,279.5614917,0.1450697176076155,0.14186921327567856,0.11556818945634467,2962.556583,0.10773647638851097,0.02219539568529526
72,2220,861,650.0873497,0.6428545514625101,0.58800372601047,0.6004515195142813,725.528611,0.6365374150244781,0.08285767666311211
73,2255,562,278.3383031,0.6226530066466006,0.6005127235470741,0.5537598036881586,247.460007,0.5632050577465899,0.07624241644656583
74,2257,429,269.0382895,0.6860175320145128,0.6747000344868773,0.5995451365810979,177.3791232,0.6559494598702404,0.13211184181512875
75,2285,2561,406.0857038,0.4117643984400472,0.3170378822919747,0.3063385558887147,1660.027821,0.40036333470236746,0.019067227733515147
76,2286,4778,457.8484562,0.19473658933797336,0.17515382423719084,0.16911921693190254,2823.470159,0.17025597789963917,0.019904398049209633
77,2290,3067,353.1271323,0.19165111122285758,0.18098923014302823,0.14974478565661323,1239.162214,0.15608582719798583,0.04461709798969376
78,2312,5294,462.8297901,0.20691830848547346,0.19180566732659557,0.1916681507272381,2599.825063,0.19545090957541217,0.01879757693869444
79,2347,1631,695.9735833,0.5434239118527665,0.45094459048190877,0.4810801020462553,1396.031139,0.53791543469568,0.013881236268510655
80,2357,607,104.1150489,0.6714983088843632,0.6647100291965338,0.46611660980429354,318.4457526,0.4637078175789823,0.049891011208656806
81,2370,3282,323.8162323,0.33740070168869074,0.3135377995904759,0.3212377857435533,1484.261713,0.32765438714349154,0.030699767274605005
82,2377,1794,310.599209,0.5308300693238077,0.4971521520299164,0.2112543480527471,235.9459696,0.23795937246577228,0.03919410606172353
83,2438,578,247.4111718,0.8185013805925991,0.8093366874742726,0.7569625224423829,396.3818851,0.6996739640260146,0.25795615273051775
84,2477,1032,169.1010427,0.5618667156891808,0.5611963683059262,0.37560594320610313,427.5930572,0.4125279810875072,0.08821869396134807
85,2505,2182,276.5488509,0.3886073760316687,0.37691139556878434,0.3279568728627417,1320.114553,0.314880404871316,0.009006102542384613
86,2518,1479,400.4591812,0.3239752393811493,0.29703626447465553,0.28470531986842346,1033.286504,0.2911153833960539,0.0234573895574706
87,2526,3448,393.1999475,0.12557872604444006,0.11464440302215236,0.10358610787509458,1935.774592,0.11186237109276663,0.024120223416413806
88,2534,2363,439.2762298,0.3746197179027797,0.322429130788145,0.3068118101198579,1449.85074,0.3581569622172702,0.02981878566952868
