,Gal10,Gal50,GalTot,LocArea90,EventDist
0,858,28110,240367,12022.881467649964,1019.2601047565419
1,322,11386,102349,28544.744064601564,2090.650056157302
2,560,12545,99502,1479.307505537507,629.8648651435067
3,614,14844,104228,4519.924128542294,1121.7219371039869
4,146,5837,52543,3742.2398824749093,934.0715180941864
5,199,7939,67168,4480.228161916447,849.1167226547882
6,1319,34811,273909,5024.6412304679525,990.2518006066936
7,641,18313,145903,5414.598040374191,946.2425861130087
8,9,228,1631,112.16044881374698,226.0505724229892
9,7,119,889,186.49039226776094,346.7622901309349
10,282,8791,76414,2165.180895196714,1023.2461769883831
11,6,88,388,19.656191601029494,278.94689835926107
12,119,4171,31145,723.3662104663744,624.9470246368277
13,329,9156,72997,3021.9554533620444,829.549876939256
14,707,20431,163396,3806.8786071193754,1008.9578997538598
15,817,29726,279751,7566.7043142541,917.0997918291274
16,1336,45765,441733,12912.585187426626,864.5415129208716
17,515,17353,184101,2125.5636123501054,1119.43017872848
18,573,13163,93944,1360.4949988873013,1137.3871019845842
19,122,5008,45680,247.67030911653274,903.4109981380104
20,511,16922,145311,2525.6444018517036,1258.8734844341736
21,438,12455,103213,1237.11883304126,1225.881381586925
22,154,2545,15046,492.1932670635236,440.02068539869043
23,253,9437,80860,2679.7990393432233,1106.5720247342083
24,1231,38515,314385,4977.548988593682,634.6853738211445
25,816,25790,242689,5942.880934181795,485.5904270015766
26,413,9550,68347,1684.711511239734,954.613696345997
27,246,8651,69498,1595.864410516208,785.502480824855
28,1044,33261,304215,7946.851879681933,513.5204028493312
29,29,1048,8925,1083.3346650103215,830.6044656600449
30,14,568,4060,166.28833194826402,564.8256867102832
31,1170,46604,367059,30988.609791898,1430.8608803344046
32,603,11573,88329,1581.504620805173,645.9824747663018
33,306,10047,77194,4888.590419182902,1229.21609669296
34,490,22904,184298,4415.130448559756,1020.6389649591218
35,275,8453,67032,3049.7308274332518,912.3196810995156
36,34,526,4714,83.78183243504441,413.4016897819847
37,559,19985,166867,6148.717700669834,1045.605652963585
38,1215,30197,226839,5046.25304183214,1151.5109820938083
39,52,1007,7432,537.7380612794359,255.8014100052799
40,52,962,5897,155.8332247819421,786.211577375977
41,40,1162,13907,21818.25465147388,1184.1478035918435
42,756,24671,203210,4575.461762721501,1185.4086729646917
43,200,8215,75214,6163.090604344075,1198.8677651843086
44,1073,39821,341112,32683.14366157935,1870.5600649901253
45,1607,42782,318683,9612.325206897842,1132.6460744081387
46,458,10971,85293,1436.2937062204348,487.2518936800271
47,241,5789,45076,1664.7127173499364,947.9972358533316
48,36,1000,8051,262.0169848643611,665.9985642966789
49,240,6206,46385,934.9468928388269,732.7429889792197
50,802,26910,248525,12248.126899683512,1219.0918553498523
51,52,1418,11986,14462.209763676981,1234.678616478147
52,1317,37110,283430,8551.982597879183,1217.9619995320886
53,494,17893,167446,3937.4412248025374,1351.3855581530909
54,454,14430,110655,2064.619746839049,1015.4986644133949
55,185,7552,72018,21252.0560115457,1029.5172886066598
56,196,6343,47262,1981.7165499388354,820.2737528154373
57,0,0,2,1.2868076396304022,161.45140386128065
58,220,8250,76965,2150.296546957422,833.4127629853093
59,113,5051,53463,5830.468041576324,902.2426697198929
60,1858,35930,261922,5308.571647850249,434.5316691292718
61,330,7519,53700,843.9228742230346,640.2220137996017
62,691,20824,180199,4949.786728485682,1040.2538109687114
63,453,8953,66555,6090.491704033308,1114.093851135798
64,732,16452,130637,2213.2697982746727,629.701298437083
65,10,326,2627,155.74470553029875,461.0057720835311
66,757,26924,237636,28755.669048813692,1434.4754619455632
67,136,2878,20632,735.8572604204937,416.77909558012925
68,26,791,9612,3638.6920289969817,1224.4952342502472
69,1754,59679,542302,11695.976592840214,702.0537695650042
70,179,5322,50154,2801.968720574274,846.0256964032571
71,16,567,5231,829.9565034081926,834.3554054234195
72,78,2599,23003,466.3653165284706,808.6001537102288
73,1469,32551,230123,3869.2748440555433,554.0744729827198
74,378,13573,136578,3500.2216915003455,895.1007396459306
75,209,7295,62743,2136.1596946208965,860.0174208678827
76,113,2856,19462,617.1463869851377,777.1768828749036
77,1435,53494,434657,32748.398742494515,1781.745122125803
78,146,4502,43544,806.705446643202,834.0794915249774
79,287,8870,78926,15728.730102227046,886.4790160692353
80,534,18012,153460,8319.786765346233,970.926430487454
81,19,291,1415,59.68410542053902,579.0981934770858
82,425,10430,83866,3248.695877201124,955.9271718768009
83,526,19000,189010,18549.0321433639,2540.2783686351872
84,135,3860,35646,3571.876386460249,1002.268914329919
85,971,21162,156235,2905.2674087512796,651.3238030017291
86,0,1,17,11.091134381833506,129.114667353095
87,3,31,167,6.4176457441439805,339.5024657466362
88,74,963,5992,324.54436143259306,325.23991201127933
89,15,618,5348,502.81229876992586,709.25067787731
90,582,13653,87910,2984.3577208492256,372.9626383805154
91,1084,25818,182071,2785.510696750211,1030.906027995532
92,106,3147,25502,626.2179710331818,580.1640882684178
93,25,357,1933,68.26473547104264,420.36176213024527
94,190,3241,34414,815.8065371084606,1150.4988839052203
95,187,5834,53650,1430.825183563356,1131.5655810288483
96,152,4082,31567,637.977917538543,754.0105025886171
97,5,70,358,16.984221597720506,327.2609680026927
98,46,705,7266,195.68000198466288,312.72835067101647
99,0,6,32,5.366889442229219,245.44129009668646
100,494,17630,150304,30817.393888274924,1738.4170947718494
101,43,735,4599,277.1537768953766,913.0441669955968
102,192,4644,33420,880.6944270538489,483.9181589864072
103,743,10466,70770,2752.515965322847,305.5076125755632
104,50,632,3912,100.3382109831553,659.721668006179
105,485,18395,177743,4026.616174606224,975.5592756554621
106,1239,40856,386672,7209.847147480877,822.819242823311
107,3,108,1019,38.46653257524461,499.41493153460385
108,69,1927,16821,835.254544543588,313.54403543441344
109,132,5360,47620,4422.644749477037,604.7242668832731
110,224,6420,50498,1445.04071967912,621.8246955935695
111,3276,91059,761189,25322.32856966611,436.85265700948185
112,1432,44158,398939,8544.95351360054,553.6258862852173
113,9,112,580,37.9788570685057,383.59744907061867
114,1312,44771,373847,8269.87502138258,1182.214972293179
115,162,2471,16962,564.4118624413032,382.4026570396177
116,72,1775,13583,608.2911833299995,484.11328745807236
117,0,2,11,1.6146567197910142,99.90484112416128
118,332,11275,106766,2830.399792805802,858.0102543956141
119,834,26857,237627,9078.90163951332,394.92779266341927
120,313,11057,97556,22665.544535750163,1284.340240430822
121,51,1211,11074,672.8905660848466,494.65827941466756
122,625,18668,155706,4889.134648655969,1171.5391892936002
123,1676,51828,446590,7757.696074392466,851.6698496617954
124,252,7337,57801,1029.2756301826382,806.8892768881743
125,0,40,391,12.443511837496029,494.83470255947805
